Model;Constraint;NumExperts;Position;RunPath;Filename
Residual;kl;10;4;lukas-struppek/final_resnet_18/1m5gcedg;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_0_final.tar
Residual;kl;10;4;lukas-struppek/final_resnet_18/2a5psmlq;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_1_final.tar
Residual;kl;10;4;lukas-struppek/final_resnet_18/1fshh43r;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_2_final.tar
Default;kl;10;1;lukas-struppek/final_resnet_18/3sshjd8j;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_0_final.tar
Default;kl;10;1;lukas-struppek/final_resnet_18/1838jeiw;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_1_final.tar
Default;kl;10;1;lukas-struppek/final_resnet_18/2no8kowt;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_2_final.tar
Default;kl;10;2;lukas-struppek/final_resnet_18/2niobvmw;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_0_final.tar
Default;kl;10;2;lukas-struppek/final_resnet_18/1zqbp9zm;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_1_final.tar
Default;kl;10;2;lukas-struppek/final_resnet_18/3wchyfub;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_2_final.tar
Default;kl;10;3;lukas-struppek/final_resnet_18/3soigory;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_0_final.tar
Default;kl;10;3;lukas-struppek/final_resnet_18/1a11f53x;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_1_final.tar
Default;kl;10;3;lukas-struppek/final_resnet_18/2qqh1o66;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_2_final.tar
Default;kl;10;4;lukas-struppek/final_resnet_18/29a21up1;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_0_final.tar
Default;kl;10;4;lukas-struppek/final_resnet_18/1oqcp4jt;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_1_final.tar
Default;kl;10;4;lukas-struppek/final_resnet_18/3mve6uzu;Default_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_2_final.tar
